Datetime,Event,Actual,Forecast,Deviation
2022-11-04 12:30:00,Earnings,0.4,0.3,0.10000000000000003
2022-11-10 13:30:00,CPI,0.4,0.6,-0.19999999999999996
2022-11-10 13:30:00,CPI,0.3,0.5,-0.2
2022-11-10 13:30:00,CPI,7.7,8.0,-0.2999999999999998
2022-11-10 13:30:00,Jobless,225000.0,220000.0,5000.0
2022-11-15 13:30:00,PPI,0.2,0.4,-0.2
2022-11-16 13:30:00,Retail,1.3,0.4,0.9
2022-11-16 13:30:00,Retail,1.3,1.0,0.30000000000000004
2022-11-17 13:30:00,Jobless,222000.0,225000.0,-3000.0
2022-11-23 13:30:00,Jobless,240000.0,225000.0,15000.0
2022-11-30 13:15:00,ADP,127000.0,200000.0,-73000.0
2022-11-30 13:30:00,GDP,2.9,2.7,0.19999999999999973
2022-12-01 13:30:00,Jobless,225000.0,235000.0,-10000.0
2022-12-01 15:00:00,ISM,49.0,49.8,-0.7999999999999972
2022-12-02 13:30:00,NFP,263000.0,200000.0,63000.0
2022-12-02 13:30:00,Earnings,0.6,0.3,0.3
2022-12-08 13:30:00,Jobless,230000.0,230000.0,0.0
2022-12-09 13:30:00,PPI,0.3,0.2,0.09999999999999998
2022-12-13 13:30:00,CPI,0.2,0.3,-0.09999999999999998
2022-12-13 13:30:00,CPI,0.1,0.3,-0.19999999999999998
2022-12-13 13:30:00,CPI,7.1,7.3,-0.20000000000000018
2022-12-14 19:00:00,FedRate,4.5,4.5,0.0
2022-12-15 13:30:00,Retail,-0.2,0.2,-0.4
2022-12-15 13:30:00,Retail,-0.6,-0.1,-0.5
2022-12-15 13:30:00,Jobless,211000.0,230000.0,-19000.0
2022-12-22 13:30:00,GDP,3.2,2.9,0.30000000000000027
2022-12-22 13:30:00,Jobless,216000.0,222000.0,-6000.0
2022-12-29 13:30:00,Jobless,225000.0,225000.0,0.0
2023-01-04 15:00:00,ISM,48.4,48.5,-0.10000000000000142
2023-01-05 13:15:00,ADP,235000.0,150000.0,85000.0
2023-01-05 13:30:00,Jobless,204000.0,225000.0,-21000.0
2023-01-06 13:30:00,Earnings,0.3,0.4,-0.10000000000000003
2023-01-06 13:30:00,NFP,223000.0,200000.0,23000.0
2023-01-12 13:30:00,CPI,-0.1,0.0,-0.1
2023-01-12 13:30:00,CPI,0.3,0.3,0.0
2023-01-12 13:30:00,CPI,6.5,6.5,0.0
2023-01-12 13:30:00,Jobless,205000.0,215000.0,-10000.0
2023-01-18 13:30:00,Retail,-1.1,-0.8,-0.30000000000000004
2023-01-18 13:30:00,Retail,-1.1,-0.4,-0.7000000000000001
2023-01-18 13:30:00,PPI,-0.5,-0.1,-0.4
2023-01-19 13:30:00,Jobless,190000.0,214000.0,-24000.0
2023-01-26 13:30:00,GDP,2.9,2.6,0.2999999999999998
2023-01-26 13:30:00,Jobless,186000.0,205000.0,-19000.0
2023-02-01 13:15:00,ADP,106000.0,178000.0,-72000.0
2023-02-01 15:00:00,ISM,47.4,48.0,-0.6000000000000014
2023-02-01 19:00:00,FedRate,4.75,4.75,0.0
2023-02-02 13:30:00,Jobless,183000.0,200000.0,-17000.0
2023-02-03 13:30:00,NFP,517000.0,185000.0,332000.0
2023-02-03 13:30:00,Earnings,0.3,0.3,0.0
2023-02-09 13:30:00,Jobless,196000.0,190000.0,6000.0
2023-02-14 13:30:00,CPI,0.5,0.5,0.0
2023-02-14 13:30:00,CPI,6.4,6.2,0.20000000000000018
